station_id,latitude,longitude,population,capacity,zone_id,Acres,Persons Per Acre ,capacity per 1000
3236,40.75898481,-73.99379969,8554,33,1012100,44.02,194.3,3.86
3345,40.78948542,-73.95242929,5675,35,1016800,49.91,113.7,6.17
417,40.71291224,-74.01020234,6040,25,1002100,59.99,100.7,4.14
3708,40.735445,-73.99431,6380,29,1006300,44.03,144.9,4.55
3086,40.715143,-73.944507,2645,30,3049700,40.83,64.8,11.34
3348,40.677236,-74.015665,1888,19,3005300,407.24,4.6,10.06
491,40.74096374,-73.98602213,3322,51,1005600,42.9,77.4,15.35
3725,40.76876203,-73.95840794,12774,41,1012600,45.38,281.5,3.21
3618,40.7485,-73.941275,1076,25,4001900,218.09,4.9,23.23
343,40.69794,-73.96986848,327,23,3054300,259.9,1.3,70.34
242,40.697787,-73.973736,1210,23,3021100,47.55,25.4,19.01
3586,40.7638753,-73.9364848,2437,19,4004300,42.21,57.7,7.8
3458,40.76309387,-73.97835016,6471,33,1013700,55.76,116.1,5.1
301,40.72217444,-73.98368779,3106,58,1003002,19.4,160.1,18.67
3284,40.7814107,-73.95595908,7066,38,1014802,31.04,227.6,5.38
327,40.7153379,-74.01658354,7709,39,1031703,74.94,102.9,5.06
460,40.71285887,-73.96590294,3122,25,3054900,48.21,64.8,8.01
3150,40.77536905,-73.94803392,4864,47,1014401,18.36,264.9,9.66
313,40.69610226,-73.96751037,327,23,3054300,259.9,1.3,70.34
403,40.72502876,-73.99069656,3151,31,1003602,21.99,143.3,9.84
3156,40.76663814,-73.95348296,10218,37,1012400,44.3,230.7,3.62
3628,40.8025566,-73.9490782,3083,31,1019000,25.65,120.2,10.06
228,40.7546011,-73.97187886,1806,55,1009200,48.69,37.1,30.45
3306,40.6662078,-73.98199886,3578,23,3015100,36.9,97,6.43
400,40.71926081,-73.98178024,6398,15,1002201,39.95,160.2,2.34
411,40.72228087,-73.97668709,4917,31,1002000,30.36,162,6.3
396,40.68034242,-73.95576894,3454,25,3022700,59.49,58.1,7.24
455,40.75001986,-73.96905301,7026,59,1008800,44.62,157.5,8.4
533,40.75299641,-73.98721619,117,46,1011300,43.4,2.7,393.16
3285,40.78839,-73.9747,10820,43,1017500,53.58,201.9,3.97
212,40.74334935,-74.00681753,4092,60,1008300,43.04,95.1,14.66
3346,40.67514684,-73.97523209,5036,29,3015900,61.98,81.3,5.76
3260,40.72706363,-73.99662137,4204,45,1005501,30.75,136.7,10.7
3619,40.7713615,-73.9246145,4611,19,4006900,52.15,88.4,4.12
3490,40.796879,-73.937261,6008,31,1018800,36.7,163.7,5.16
3105,40.724055,-73.955736,3295,24,3056100,84.4,39,7.28
3422,40.6859296,-74.00242364,1445,21,3004700,81.64,17.7,14.53
426,40.71754834,-74.01322069,7709,29,1031703,74.94,102.9,3.76
3142,40.7612274,-73.96094022,7169,41,1011000,43.63,164.3,5.72
3081,40.711863,-73.944024,2603,29,3049500,31.9,81.6,11.14
392,40.695065,-73.987167,2275,35,3001300,72.15,31.5,15.38
419,40.69580705,-73.97355569,3827,23,3018501,25.86,148,6.01
3515,40.774591,-73.918544,3580,19,4009700,49.87,71.8,5.31
3062,40.69539817,-73.94954908,5102,23,3025500,34.26,148.9,4.51
3553,40.801694,-73.957145,7556,37,1021600,42.8,176.5,4.9
3357,40.8008363,-73.96644925,8197,35,1019500,53.96,151.9,4.27
3621,40.7739825,-73.9309134,2796,19,4009100,47.44,58.9,6.8
382,40.73492695,-73.99200509,5224,33,1006100,35.17,148.5,6.32
3088,40.7160751,-73.952029,3564,19,3051900,67.62,52.7,5.33
3582,40.6721683,-73.9609,3597,28,3021700,29.57,121.6,7.78
474,40.7451677,-73.98683077,4319,56,1007400,43.02,100.4,12.97
3016,40.72036775,-73.96165073,1655,54,3055700,69.81,23.7,32.63
490,40.751551,-73.993934,2058,66,1010300,42.66,48.2,32.07
2017,40.75022392,-73.97121414,7026,39,1008800,44.62,157.5,5.55
3376,40.76471852,-73.9622207,8767,39,1011800,43.68,200.7,4.45
448,40.75660359,-73.9979009,1945,27,1009900,248.86,7.8,13.88
261,40.69474881,-73.98362464,3521,27,3001500,75.48,46.6,7.67
3390,40.79329668,-73.9432083,7855,24,1017000,45.2,173.8,3.06
387,40.71273266,-74.0046073,2550,39,1003100,50.79,50.2,15.29
3630,40.8038654,-73.9559308,3865,33,1020102,20.6,187.6,8.54
3135,40.77112927,-73.95772297,11174,41,1013400,44.92,248.8,3.67
3151,40.7728384,-73.94989233,15344,43,1013600,54.76,280.2,2.8
3134,40.76312584,-73.96526895,7169,51,1011000,43.63,164.3,7.11
3046,40.682601,-73.938037,4180,19,3027500,40.05,104.4,4.55
266,40.72368361,-73.97574813,5434,30,1002400,45.29,120,5.52
311,40.7172274,-73.98802084,8660,31,1001800,55.02,157.4,3.58
3305,40.7811223,-73.94965589,13749,39,1015400,43.83,313.7,2.84
423,40.76584941,-73.98690506,6208,27,1013300,43.08,144.1,4.35
332,40.71219906,-73.97948148,7316,36,1000202,73.79,99.1,4.92
391,40.69760127,-73.99344559,4247,31,3000501,20.69,205.3,7.3
3140,40.77140426,-73.9535166,11174,55,1013400,44.92,248.8,4.92
289,40.6845683,-73.95881081,3395,19,3022900,42.46,80,5.6
282,40.70764494,-73.96841526,5245,27,3054700,41.62,126,5.15
3315,40.6847514,-73.99917254,1892,23,3006300,24.93,75.9,12.16
3361,40.6740886,-73.9787282,4135,23,3015700,41.37,100,5.56
3310,40.663779,-73.98396846,4976,24,3014900,61.08,81.5,4.82
245,40.69327018,-73.97703874,2472,23,3003100,71.25,34.7,9.3
3309,40.7859201,-73.94860294,2298,30,1015602,26.87,85.5,13.05
3092,40.7190095,-73.95852515,2596,27,3055300,38.62,67.2,10.4
3349,40.6729679,-73.97087984,5036,29,3015900,61.98,81.3,5.76
546,40.74444921,-73.98303529,8664,45,1007200,43.25,200.3,5.19
3368,40.6728155,-73.98352355,3596,30,3013500,37.53,95.8,8.34
3495,40.7945663,-73.9362541,3912,26,1017800,64.19,60.9,6.65
3388,40.6828003,-73.99990419,3301,25,3006700,38.58,85.6,7.57
3409,40.6867443,-73.99063168,3537,35,3006900,44.25,79.9,9.9
358,40.73291553,-74.00711384,2759,50,1006900,55.6,49.6,18.12
307,40.71427487,-73.98990025,11367,30,1000600,62.73,181.2,2.64
3545,40.8120562,-73.9612547,10330,33,1021100,86,120.1,3.19
458,40.751396,-74.005226,1945,31,1009900,248.86,7.8,15.94
470,40.74345335,-74.00004031,5708,72,1008900,40.91,139.5,12.61
466,40.74395411,-73.99144871,3512,35,1005800,43.36,81,9.97
390,40.69221589,-73.9842844,3521,31,3001500,75.48,46.6,8.8
3543,40.81028506,-73.95736456,641,35,1019701,58.31,11,54.6
302,40.72082834,-73.97793172,4917,23,1002000,30.36,162,4.68
3496,40.7923272,-73.9383,7476,25,1018000,52.52,142.3,3.34
3745,40.75651273,-73.92957486,5340,27,4005300,48.56,110,5.06
309,40.7149787,-74.013012,6040,41,1002100,59.99,100.7,6.79
3377,40.6786115,-73.99037292,3901,25,3007700,96.88,40.3,6.41
339,40.72580614,-73.97422494,5434,30,1002400,45.29,120,5.52
373,40.69331716,-73.95381995,2229,19,3024100,44.53,50.1,8.52
3574,40.6769694,-73.96579,2469,23,3020500,39.47,62.6,9.32
279,40.707873,-74.00167,5518,36,1001501,61.39,89.9,6.52
363,40.70834698,-74.01713445,5677,49,1031704,63.66,89.2,8.63
195,40.70905623,-74.01043382,8109,45,1000700,62.75,129.2,5.55
295,40.71406667,-73.99293911,10290,24,1000800,53.78,191.3,2.33
3319,40.666287,-73.98895053,3017,21,3014100,40.89,73.8,6.96
481,40.71260486,-73.96264403,4597,25,3055100,57.23,80.3,5.44
3122,40.74436329,-73.95587325,4790,31,4000700,134.68,35.6,6.47
3233,40.75724568,-73.97805914,73,39,1009400,37.75,1.9,534.25
3049,40.68488,-73.96304,3421,18,3020100,43.34,78.9,5.26
3311,40.68763155,-74.0016256,1445,21,3004700,81.64,17.7,14.53
356,40.71622644,-73.98261206,3397,23,1001200,29.8,114,6.77
3307,40.7941654,-73.974124,8667,31,1018300,55.3,156.7,3.58
3508,40.809725,-73.953149,3876,31,1025700,35.6,108.9,8
324,40.689888,-73.981013,2327,51,3003300,40.69,57.2,21.92
3637,40.68323865,-73.96599591,2929,31,3019900,46.68,62.7,10.58
3662,40.7612939,-73.91691685,2674,21,4014900,26.33,101.6,7.85
3701,40.70831794,-74.00504082,7476,37,1001502,56.72,131.8,4.95
462,40.74691959,-74.00451887,5708,47,1008900,40.91,139.5,8.23
72,40.76727216,-73.99392888,6596,55,1013500,103.91,63.5,8.34
330,40.71450451,-74.00562789,2550,39,1003100,50.79,50.2,15.29
3359,40.7691572,-73.96703464,3633,35,1012200,42.65,85.2,9.63
3243,40.75892386,-73.96226227,7351,29,1010601,32.69,224.9,3.95
525,40.75594159,-74.0021163,1945,56,1009900,248.86,7.8,28.79
3443,40.76132983,-73.97982001,2816,41,1013100,43.03,65.4,14.56
3226,40.78275,-73.97137,6402,44,1016500,50.49,126.8,6.87
278,40.69766564,-73.98476437,3521,19,3001500,75.48,46.6,5.4
3351,40.7869946,-73.94164802,9308,25,1016200,74.36,125.2,2.69
3674,40.70140317,-73.9867267,3604,27,3002100,122.21,29.5,7.49
372,40.69454609,-73.95801365,6008,27,3123700,79.41,75.7,4.49
344,40.6851443,-73.95380904,3786,23,3024300,38.14,99.3,6.08
3393,40.6794327,-74.00785041,1384,19,3005900,88.3,15.7,13.73
3108,40.72557,-73.94434,3920,51,3059100,47.13,83.2,13.01
360,40.70717936,-74.00887308,8109,39,1000700,62.75,129.2,4.81
3341,40.795346,-73.96186,25,41,1014300,726.47,0,1640
3172,40.7785669,-73.97754961,10751,27,1015700,45.07,238.5,2.51
3579,40.672695,-73.954131,3595,25,3021900,36.34,98.9,6.95
502,40.714215,-73.981346,7316,30,1000202,73.79,99.1,4.1
